query_id,selectivity,plan,returned,recall,latency_ms
13,1.0,Exact-filter-first,10,1.0,1.5193360000012035
14,0.01,Exact-filter-first,10,1.0,0.045494999994843965
14,0.01,HNSW-medium,2,0.2,0.28181699997276155
14,0.01,HNSW-low,1,0.1,0.12330300000940042
14,0.01,HNSW-high,6,0.6,0.41354400002546754
14,0.1,HNSW-low,10,1.0,0.387261000014405
14,0.1,HNSW-high,10,1.0,0.49532499997440027
14,0.1,Exact-filter-first,10,1.0,0.2535669999588208
14,0.1,HNSW-medium,10,1.0,0.26728900002126466
14,0.5,Exact-filter-first,10,1.0,0.8581009999488742
14,0.5,HNSW-low,10,1.0,0.2056619999848408
14,0.5,HNSW-medium,10,1.0,0.25402000005669834
14,0.5,HNSW-high,10,1.0,0.45258199997988413
14,1.0,HNSW-high,10,1.0,0.564593999911267
14,1.0,HNSW-medium,10,1.0,0.31962699995347066
14,1.0,HNSW-low,10,1.0,0.18210700000054203
14,1.0,Exact-filter-first,10,1.0,1.6172210000604537
15,0.01,Exact-filter-first,10,1.0,0.04619700007424399
15,0.01,HNSW-medium,5,0.5,0.30755000000226573
15,0.01,HNSW-high,8,0.7,0.38633799999843177
15,0.01,HNSW-low,1,0.1,0.13243000000784377
15,0.1,HNSW-high,10,1.0,0.45116600006167573
15,0.1,HNSW-low,5,0.5,0.14613600001212035
15,0.1,HNSW-medium,10,1.0,0.20811399997455737
15,0.1,Exact-filter-first,10,1.0,0.29279000000315136
15,0.5,HNSW-low,10,1.0,0.1851619999797549
15,0.5,HNSW-medium,10,1.0,0.2643560000024081
15,0.5,Exact-filter-first,10,1.0,0.9347039999738627
15,0.5,HNSW-high,10,1.0,0.4717010000376831
15,1.0,HNSW-medium,10,1.0,0.4125509999539645
15,1.0,Exact-filter-first,10,1.0,1.682579999965128
15,1.0,HNSW-low,10,1.0,0.32193399999869143
15,1.0,HNSW-high,10,1.0,0.7519179999917469
16,0.01,HNSW-low,0,0.0,0.20269499998448737
16,0.01,HNSW-high,3,0.3,0.6522630000063145
16,0.01,HNSW-medium,2,0.2,0.6883359999392269
16,0.01,Exact-filter-first,10,1.0,0.10922100000243518
16,0.1,HNSW-low,10,1.0,0.28430500003651105
16,0.1,Exact-filter-first,10,1.0,0.40630700004840037
16,0.1,HNSW-medium,10,1.0,0.7178600000088409
16,0.1,HNSW-high,10,1.0,0.6690449999950943
16,0.5,HNSW-low,10,1.0,0.2802249999831474
16,0.5,HNSW-high,10,1.0,0.7339860000001863
16,0.5,HNSW-medium,10,1.0,0.4187099999626298
16,0.5,Exact-filter-first,10,1.0,1.251849000027505
16,1.0,HNSW-low,10,1.0,0.3271429999358588
16,1.0,HNSW-high,10,1.0,0.8057679999637912
16,1.0,HNSW-medium,10,1.0,0.4803659999197407
16,1.0,Exact-filter-first,10,1.0,2.2351280000521
17,0.01,HNSW-high,7,0.7,0.6709110000429064
17,0.01,HNSW-low,3,0.3,0.21355199999106844
17,0.01,HNSW-medium,7,0.7,0.30776500000229134
17,0.01,Exact-filter-first,10,1.0,0.09227499992903176
17,0.1,Exact-filter-first,10,1.0,0.4263329999503185
17,0.1,HNSW-high,10,1.0,0.587919999929909
17,0.1,HNSW-low,10,1.0,0.1880360000541259
17,0.1,HNSW-medium,10,1.0,0.2945540001064728
17,0.5,HNSW-medium,10,1.0,0.44469500005561713
17,0.5,Exact-filter-first,10,1.0,1.2274439999373499
17,0.5,HNSW-low,10,1.0,0.18622100003540254
17,0.5,HNSW-high,10,1.0,0.5100870000660507
17,1.0,HNSW-medium,10,1.0,0.460829999951784
17,1.0,HNSW-high,10,1.0,0.4984769999509808
17,1.0,HNSW-low,10,1.0,0.23375799992209068
17,1.0,Exact-filter-first,10,1.0,1.614278999909402
18,0.01,HNSW-low,0,0.0,0.21523800000977644
18,0.01,Exact-filter-first,10,1.0,0.06659999996827537
18,0.01,HNSW-high,5,0.5,0.42497999993429403
18,0.01,HNSW-medium,4,0.4,0.21104000006744172
18,0.1,HNSW-high,10,1.0,0.45511100006478955
18,0.1,HNSW-medium,10,1.0,0.29971000003570225
18,0.1,Exact-filter-first,10,1.0,0.5314139999654799
18,0.1,HNSW-low,10,1.0,0.2519690000326591
18,0.5,Exact-filter-first,10,1.0,0.9563390000266736
18,0.5,HNSW-medium,10,1.0,0.3591710000137027
18,0.5,HNSW-low,10,1.0,0.2278829999795562
18,0.5,HNSW-high,10,1.0,0.4789199999777338
18,1.0,Exact-filter-first,10,1.0,1.4987909999035764
18,1.0,HNSW-low,10,1.0,0.3023630000598132
18,1.0,HNSW-high,10,1.0,0.5345989999341327
18,1.0,HNSW-medium,10,1.0,0.3430880000223624
19,0.01,Exact-filter-first,10,1.0,0.04591199990500172
19,0.01,HNSW-low,0,0.0,0.12581900000441237
19,0.01,HNSW-high,5,0.5,0.3891300000304909
19,0.01,HNSW-medium,4,0.4,0.22248400000535185
19,0.1,HNSW-medium,10,1.0,0.26504100003421627
19,0.1,Exact-filter-first,10,1.0,0.26904399999239104
19,0.1,HNSW-high,10,1.0,0.4085790000090128
19,0.1,HNSW-low,10,0.9,0.13123400003678398
19,0.5,HNSW-low,10,1.0,0.17045600009168993
19,0.5,HNSW-medium,10,1.0,0.26992499999778374
19,0.5,HNSW-high,10,1.0,0.4323229999272371
19,0.5,Exact-filter-first,10,1.0,0.9192709999297222
19,1.0,HNSW-high,10,1.0,0.8010059999605801
19,1.0,HNSW-medium,10,1.0,0.47769499997230014
19,1.0,Exact-filter-first,10,1.0,1.7577440000877687
19,1.0,HNSW-low,10,1.0,0.20019999999476568
